Group,Part,Qty,Unit (USD),Subtotal (USD),Supplier,Link,Notes
Fittings — MEASURE tube OD first (Swagelok rig),"1/4"" NPT-M × 1/4"" barb adapter",3,1.40,4.20,Amazon,https://www.amazon.com/s?k=1%2F4+NPT+male+to+1%2F4+hose+barb+brass,For the 3-way diverter ports -> silicone (permeate side)
Fittings — MEASURE tube OD first (Swagelok rig),PTFE thread-seal tape (roll),1,2.00,2.00,Amazon,https://www.amazon.com/s?k=PTFE+thread+seal+tape,NPT (diverter) joints only
Fittings — MEASURE tube OD first (Swagelok rig),"Hose clamps (worm/Oetiker, ~10)",1,7.00,7.00,Amazon,https://www.amazon.com/s?k=1%2F4+inch+hose+clamp+small+assortment,Every barb-to-silicone joint
Fittings — MEASURE tube OD first (Swagelok rig),Barrel jack 5.5×2.1mm → screw terminal,1,6.00,6.00,Amazon,https://www.amazon.com/s?k=5.5x2.1mm+female+barrel+jack+to+screw+terminal+adapter,Land the 12V into the breadboard
Fittings — MEASURE tube OD first (Swagelok rig),Inline blade-fuse holder + 3A fuse,1,6.00,6.00,Amazon,https://www.amazon.com/s?k=inline+blade+fuse+holder+12v+3A,Fire safety on the 12V
Fittings — MEASURE tube OD first (Swagelok rig),M3 screws/standoffs + baseplate,1,10.00,10.00,Amazon,https://www.amazon.com/s?k=M3+standoff+screw+assortment+kit,Mount Pi/ADS/servo bracket
Fittings — MEASURE tube OD first (Swagelok rig),22AWG stranded hookup wire (spool),1,8.00,8.00,Amazon,https://www.amazon.com/s?k=22AWG+stranded+hookup+wire+kit,Reach solenoid/servo/12V
Fittings — MEASURE tube OD first (Swagelok rig),Electrolytic caps 1000µF + 470µF,1,3.00,3.00,Amazon,https://www.amazon.com/s?k=1000uf+470uf+25v+electrolytic+capacitor,Rail stability
Fittings — MEASURE tube OD first (Swagelok rig),Pi/electronics enclosure (splash protection),1,0.00,0.00,In-house 3D print,,Designed & printed by you
Fittings — MEASURE tube OD first (Swagelok rig),Zip ties + heat-shrink assortment,1,8.00,8.00,Amazon,https://www.amazon.com/s?k=heat+shrink+tubing+zip+ties+assortment+kit,Strain relief + insulate splices
Order separately (not Amazon),3-way 12V solenoid valve for WATER (diverter),1,53.00,53.00,ESValves,https://www.electricsolenoidvalves.com/1-4-3-way-12v-dc-electric-solenoid-valve/,On the permeate outlet; Amazon 3-way are air/gas only
OPTIONAL — feed-forward upgrade,2nd pressure transducer 0–15 PSI (supply side),1,15.00,15.00,Amazon,https://www.amazon.com/0-5-4-5V-Stainless-Pressure-Transducer-0-15PSI/dp/B07G5DQZJ2,Only if compressor swings beat the PID
OPTIONAL — feed-forward upgrade,G1/4-M → Swagelok adapter (2nd sensor),1,10.00,10.00,McMaster/Swagelok,https://www.mcmaster.com/products/tube-fittings/,Mount for the supply-side sensor

,TOTAL required (USD),,,292.20,,,Swagelok items may be ~$0 from lab stock -> could be lower
,TOTAL with optional (USD),,,317.20,,,"Already owned: Pi 4, microSD, graduated cylinder, dial gauge, air needle valve."
